,participant,condition,block,trial,stimulus,stimulus_type,choice,rt,correct,N,n_targets,n_corrects,lure,n_recent_repetitions,n_recent_targets,n_recent_lures,n_recent_corrects,n_lures
128,P1,3-back,2,8,P,target,target,961.0,True,3,10,24,False,1.0,2.0,0.0,4.0,1
129,P1,3-back,2,9,F,non-target,non-target,2137.0,True,3,10,24,False,0.0,1.0,0.0,4.0,1
130,P1,3-back,2,10,G,non-target,non-target,1801.0,True,3,10,24,False,0.0,1.0,0.0,4.0,1
131,P1,3-back,2,11,P,target,target,673.0,True,3,10,24,False,1.0,2.0,0.0,4.0,1
132,P1,3-back,2,12,F,target,target,961.0,True,3,10,24,False,1.0,2.0,0.0,4.0,1
133,P1,3-back,2,13,G,target,target,1985.0,True,3,10,24,False,1.0,3.0,0.0,4.0,1
134,P1,3-back,2,14,P,target,target,1433.0,True,3,10,24,False,1.0,4.0,0.0,4.0,1
135,P1,3-back,2,15,D,non-target,non-target,1513.0,True,3,10,24,False,0.0,3.0,0.0,4.0,1
136,P1,3-back,2,16,K,non-target,non-target,1537.0,True,3,10,24,False,0.0,2.0,0.0,4.0,1
137,P1,3-back,2,17,L,non-target,non-target,1529.0,True,3,10,24,False,0.0,1.0,0.0,4.0,1
138,P1,3-back,2,18,S,non-target,non-target,2065.0,True,3,10,24,False,0.0,0.0,0.0,4.0,1
139,P1,3-back,2,19,K,target,target,625.0,True,3,10,24,False,1.0,1.0,0.0,4.0,1
140,P1,3-back,2,20,W,non-target,non-target,2785.0,True,3,10,24,False,0.0,1.0,0.0,4.0,1
141,P1,3-back,2,21,J,non-target,non-target,1361.0,True,3,10,24,False,0.0,1.0,0.0,4.0,1
142,P1,3-back,2,22,K,target,non-target,2233.0,False,3,10,24,False,1.0,2.0,0.0,3.0,1
143,P1,3-back,2,23,Z,non-target,non-target,2153.0,True,3,10,24,False,0.0,1.0,0.0,3.0,1
144,P1,3-back,2,24,C,non-target,non-target,2488.0,True,3,10,24,False,0.0,1.0,0.0,3.0,1
145,P1,3-back,2,25,K,target,non-target,2272.0,False,3,10,24,False,1.0,2.0,0.0,2.0,1
146,P1,3-back,2,26,Y,non-target,non-target,2088.0,True,3,10,24,False,0.0,1.0,0.0,3.0,1
147,P1,3-back,2,27,K,non-target,target,968.0,False,3,10,24,True,1.0,1.0,1.0,2.0,1
148,P1,3-back,2,28,D,non-target,non-target,2440.0,True,3,10,24,False,1.0,1.0,1.0,2.0,1
149,P1,3-back,2,29,V,non-target,non-target,1728.0,True,3,10,24,False,0.0,0.0,1.0,3.0,1
150,P1,3-back,2,30,M,non-target,non-target,1824.0,True,3,10,24,False,0.0,0.0,1.0,3.0,1
151,P1,3-back,3,1,P,burn-in,,,False,3,10,23,False,,,,,0
152,P1,3-back,3,2,L,burn-in,,,False,3,10,23,False,,,,,0
153,P1,3-back,3,3,J,burn-in,,,False,3,10,23,False,,,,,0
154,P1,3-back,3,4,P,target,target,469.0,True,3,10,23,False,1.0,1.0,0.0,1.0,0
155,P1,3-back,3,5,L,target,target,1301.0,True,3,10,23,False,1.0,2.0,0.0,2.0,0
156,P1,3-back,3,6,T,non-target,non-target,1525.0,True,3,10,23,False,0.0,2.0,0.0,3.0,0
157,P1,3-back,3,7,R,non-target,non-target,2189.0,True,3,10,23,False,0.0,2.0,0.0,4.0,0
158,P1,3-back,3,8,L,target,non-target,1381.0,False,3,10,23,False,1.0,2.0,0.0,3.0,0
159,P1,3-back,3,9,B,non-target,non-target,1845.0,True,3,10,23,False,0.0,1.0,0.0,3.0,0
160,P1,3-back,3,10,R,target,non-target,1581.0,False,3,10,23,False,1.0,2.0,0.0,2.0,0
161,P1,3-back,3,11,G,non-target,non-target,2349.0,True,3,10,23,False,0.0,2.0,0.0,2.0,0
162,P1,3-back,3,12,S,non-target,non-target,2277.0,True,3,10,23,False,0.0,1.0,0.0,3.0,0
163,P1,3-back,3,13,Q,non-target,non-target,2021.0,True,3,10,23,False,0.0,1.0,0.0,3.0,0
164,P1,3-back,3,14,W,non-target,non-target,2117.0,True,3,10,23,False,0.0,0.0,0.0,4.0,0
165,P1,3-back,3,15,H,non-target,non-target,3134.0,True,3,10,23,False,0.0,0.0,0.0,4.0,0
166,P1,3-back,3,16,F,non-target,non-target,1941.0,True,3,10,23,False,0.0,0.0,0.0,4.0,0
167,P1,3-back,3,17,W,target,target,1094.0,True,3,10,23,False,1.0,1.0,0.0,4.0,0
168,P1,3-back,3,18,Z,non-target,non-target,1549.0,True,3,10,23,False,0.0,1.0,0.0,4.0,0
